feature,CD,HYP,MI,NORM,STTC,mean_importance,feature_type
lead2_skew,14.605356627572279,0.03325298122669052,0.3508082285915547,4.046682024980975,0.047280539432094114,3.816676080360719,baseline
clinical_lead7_st_slope_mean,12.7601165923129,0.38055450110525646,0.22386932060952205,4.123442937788889,0.23163175400850525,3.543923021165014,clinical
age,1.3260657211098719,2.4391521759141757,3.2006245393167614,4.058998996481766,1.236410947778244,2.452250476120164,baseline
clinical_lead4_t_amp_mean,0.0,0.7191865373796391,1.088211104676853,3.6078186707449227,6.167148845482457,2.3164730316567743,clinical
clinical_lead8_qrs_max_mean,0.0,0.06049626243658672,7.821012627058021,2.3601699762821204,0.040102818886531985,2.056356336932652,clinical
clinical_lead11_t_amp_mean,0.0,0.7034317550938429,0.3679529936826772,3.200069544572362,4.2287372131004854,1.7000383012898734,clinical
clinical_lead1_t_amp_mean,0.650610698408439,0.6770781426614183,1.2884537812087735,2.422544328989759,3.313953905435919,1.6705281713408617,clinical
clinical_sokolow_lyon_voltage,0.0,6.445761992026437,0.07945866370827395,1.5094612616174383,0.055776099014961514,1.618091603273422,clinical
clinical_t_inversion_global_ratio,0.2964017795348173,0.6092472115296096,1.1224117458209304,3.1793563791073227,2.8344895939592014,1.6083813419903763,clinical
clinical_lead12_t_amp_mean,0.34329483757619217,1.1645463065719914,0.6499851072797335,2.40403956514524,3.2784148198624887,1.5680561272871292,clinical
clinical_lead12_t_inversion_ratio,0.3129573230628452,2.0366600264203467,0.24969469247633833,1.914694435078145,2.277834882580294,1.3583682719235939,clinical
clinical_lead8_st_slope_mean,3.9583212620843335,0.03931563962981363,0.5883628393790981,1.06348143673279,0.0601797055170694,1.141932176668621,clinical
clinical_lead3_q_depth_mean,0.07886123648343349,0.13407755718123876,3.8985045361364254,1.4700447451357492,0.0,1.1162976149873693,clinical
clinical_lead2_q_width_mean_ms,2.4871095603400484,0.7286063849815971,0.27305112487324734,1.1516193796019587,0.8410053017492657,1.0962783503092235,clinical
clinical_lead12_st_slope_mean,0.971379035101323,0.7121159842130842,0.632756060167886,1.5687936149065653,1.5055890428994316,1.0781267474576581,clinical
clinical_lead9_qrs_max_mean,0.0,0.10052248559290264,3.872385418790009,0.4898108726636326,0.19220604759792595,0.930984964928894,clinical
heart_axis_enc,3.1746412918381135,0.1335478241505199,0.0,0.9132141669220621,0.31674232148465525,0.9076291208790701,baseline
lead12_hf2_energy,0.18940635698448519,3.3069190633160934,0.0941462082058489,0.5781312423408068,0.19548694731509456,0.8728179636324658,baseline
clinical_lead10_t_amp_mean,0.0,0.07353767943780705,0.7016406439622838,1.591736724969787,1.8434501693046728,0.84207304353491,clinical
clinical_lead12_q_width_mean_ms,1.8352535243254986,0.0,0.14676497940366753,1.3321934214984048,0.8313026299626324,0.8291029110380407,clinical
clinical_t_amp_global_mean,0.09511556236618388,0.5287662255431085,0.6624942410468465,0.8919380500317136,1.9489401582764077,0.8254508474528521,clinical
clinical_lead11_q_width_mean_ms,0.4699940366721518,0.16690183305625078,0.23762398815719676,0.8070236106447058,2.0478494368846385,0.7458785810829888,clinical
clinical_lead1_t_inversion_ratio,0.20408136676320238,0.20257417906551908,0.5994100886411743,1.067078979211331,1.6381840845180669,0.7422657396398588,clinical
lead4_skew,1.4664763361890407,0.6684827117764484,0.24033371595817613,0.3229839651724516,1.001624467429941,0.7399802393052115,baseline
lead3_hf2_energy,0.7733301914360772,0.05259289772163454,1.1877780516071317,1.4876671641927315,0.12983342036549966,0.726240345064615,baseline
corr_I_II,1.7992596045274787,0.0,1.212597784826965,0.4242606821876368,0.0,0.6872236143084162,baseline
clinical_lead4_st_slope_mean,1.281986936192239,0.21602981418775863,0.08923933023232716,0.5116716739579672,1.26155208133945,0.6720959671819484,clinical
clinical_lead6_st_slope_mean,2.309790134642315,0.30250039019908576,0.2013590678668189,0.2502679147123259,0.12900529242786976,0.6385845599696831,clinical
heart_axis_NO_DATA,2.015875986052047,0.0,0.37015646760176174,0.12747210517433316,0.4601862363316023,0.5947381590319489,baseline
lead7_spec_entropy,1.66641424588728,0.23078197664273972,0.5657937142562224,0.0,0.5016143158672011,0.5929208505306885,baseline
clinical_lead1_st_slope_mean,1.2792874036370083,0.5696556490258049,0.0968701529881639,0.437100475415606,0.535083145469926,0.5835993653073018,clinical
lead10_dom_freq,0.0,0.12915107403046178,0.053777631160768107,0.12402572752045134,2.556142642505644,0.5726194150434651,baseline
clinical_lead4_q_width_mean_ms,1.6492044033154127,0.08218610174109932,0.23666656925417234,0.6139200725574042,0.2760249127697227,0.5716004119275622,clinical
clinical_lead6_q_depth_mean,0.0,0.0,2.450234894971012,0.1351778013840136,0.23048581375395374,0.5631797020217959,clinical
