class,baseline,clinical,delta_clinical_minus_baseline
S,0.34626678304363395,0.5128719232344674,0.16660514019083345
MHS,0.2189101898688855,0.3834612418301099,0.16455105196122438
HCS,0.11351167822891985,0.2383219488549602,0.12481027062604035
MCS,0.13696333271570188,0.2595059976028928,0.1225426648871909
MHC,0.14456556393823053,0.2636850894841487,0.11911952554591818
HS,0.3202190803408252,0.42280895726602735,0.10258987692520216
M,0.29253920931803046,0.3913057680359139,0.09876655871788342
MS,0.1394550708211582,0.21486616631509795,0.07541109549393973
MC,0.34771850253985737,0.3991725229161538,0.05145402037629643
C,0.4132886692293338,0.4634569115267846,0.05016824229745076
N,0.8715405348781449,0.9068150488831602,0.035274514005015356
CS,0.09399926997722416,0.1259480255205594,0.03194875554333523
HC,0.06177198157602585,0.08872464647625472,0.026952664900228872
H,0.350783865266724,0.37274042882031444,0.021956563553590436
MH,0.030709042822487802,0.041432338649034166,0.010723295826546363
MHCS,0.27276090795566593,0.26080723340565753,-0.011953674550008397
