task,class,experiment,pr_auc,prevalence
binary_superclass,CD,baseline,0.7877486597584457,0.2138819095477387
binary_superclass,CD,clinical,0.8087164548342891,0.2138819095477387
binary_superclass,HYP,baseline,0.5811331172691034,0.12939698492462312
binary_superclass,HYP,clinical,0.6415268915373451,0.12939698492462312
binary_superclass,MI,baseline,0.6844017068151346,0.2518844221105528
binary_superclass,MI,clinical,0.805484084905471,0.2518844221105528
binary_superclass,NORM,baseline,0.8970941402938082,0.43844221105527637
binary_superclass,NORM,clinical,0.9223080052385512,0.43844221105527637
binary_superclass,STTC,baseline,0.6890625839024075,0.2490577889447236
binary_superclass,STTC,clinical,0.7778396349707555,0.2490577889447236
multiclass_one_vs_rest,C,baseline,0.4132886692293338,0.08542713567839195
multiclass_one_vs_rest,C,clinical,0.4634569115267846,0.08542713567839195
multiclass_one_vs_rest,CS,baseline,0.09399926997722416,0.02041457286432161
multiclass_one_vs_rest,CS,clinical,0.1259480255205594,0.02041457286432161
multiclass_one_vs_rest,H,baseline,0.350783865266724,0.031407035175879394
multiclass_one_vs_rest,H,clinical,0.37274042882031444,0.031407035175879394
multiclass_one_vs_rest,HC,baseline,0.06177198157602585,0.01350502512562814
multiclass_one_vs_rest,HC,clinical,0.08872464647625472,0.01350502512562814
multiclass_one_vs_rest,HCS,baseline,0.11351167822891985,0.009108040201005025
multiclass_one_vs_rest,HCS,clinical,0.2383219488549602,0.009108040201005025
multiclass_one_vs_rest,HS,baseline,0.3202190803408252,0.033605527638190955
multiclass_one_vs_rest,HS,clinical,0.42280895726602735,0.033605527638190955
multiclass_one_vs_rest,M,baseline,0.29253920931803046,0.10646984924623115
multiclass_one_vs_rest,M,clinical,0.3913057680359139,0.10646984924623115
multiclass_one_vs_rest,MC,baseline,0.34771850253985737,0.06155778894472362
multiclass_one_vs_rest,MC,clinical,0.3991725229161538,0.06155778894472362
multiclass_one_vs_rest,MCS,baseline,0.13696333271570188,0.01099246231155779
multiclass_one_vs_rest,MCS,clinical,0.2595059976028928,0.01099246231155779
multiclass_one_vs_rest,MH,baseline,0.030709042822487802,0.009422110552763818
multiclass_one_vs_rest,MH,clinical,0.041432338649034166,0.009422110552763818
multiclass_one_vs_rest,MHC,baseline,0.14456556393823053,0.004711055276381909
multiclass_one_vs_rest,MHC,clinical,0.2636850894841487,0.004711055276381909
multiclass_one_vs_rest,MHCS,baseline,0.27276090795566593,0.008165829145728644
multiclass_one_vs_rest,MHCS,clinical,0.26080723340565753,0.008165829145728644
multiclass_one_vs_rest,MHS,baseline,0.2189101898688855,0.019472361809045227
multiclass_one_vs_rest,MHS,clinical,0.3834612418301099,0.019472361809045227
multiclass_one_vs_rest,MS,baseline,0.1394550708211582,0.031092964824120602
multiclass_one_vs_rest,MS,clinical,0.21486616631509795,0.031092964824120602
multiclass_one_vs_rest,N,baseline,0.8715405348781449,0.43844221105527637
multiclass_one_vs_rest,N,clinical,0.9068150488831602,0.43844221105527637
multiclass_one_vs_rest,S,baseline,0.34626678304363395,0.11620603015075377
multiclass_one_vs_rest,S,clinical,0.5128719232344674,0.11620603015075377
